"name","comm_code","census_year","population","occupied dwellings","persons per unit","notes"
"TARADALE","TAR","2017","18,925","4,796","3.95",
"GARRISON GREEN","GAG","2017","2,093","710","2.95",
"CHAPARRAL","CHA","2017","12,964","4,133","3.14",
"GREENVIEW","GRV","2017","2,036","1,032","1.97",
"REDSTONE","RSN","2017","3,392","966","3.51",
"CHINATOWN","CHN","2017","2,124","1,436","1.48",
"QUEENSLAND","QLD","2017","4,787","1,836","2.61",
"DOWNTOWN WEST END","DNW","2017","2,456","1,414","1.74",
"PALLISER","PAL","2017","3,484","1,750","1.99",
"QUEENS PARK VILLAGE","QPK","2017","430","181","2.38",
"UPPER MOUNT ROYAL","UMR","2017","2,467","991","2.49",
"EAU CLAIRE","EAU","2017","1,494","921","1.62",
"DOVER","DOV","2017","10,484","4,520","2.32",
"RUNDLE","RUN","2017","11,558","3,606","3.21",
"MANCHESTER","MAN","2017","1,052","499","2.11",
"ROYAL OAK","ROY","2017","11,682","4,001","2.92",
"SUNDANCE","SDC","2017","9,994","3,345","2.99",
"STRATHCONA PARK","STR","2017","7,043","2,404","2.93",
"CHINOOK PARK","CHK","2017","1,663","568","2.93",
"FOREST HEIGHTS","FHT","2017","6,406","2,124","3.02",
"PARKDALE","PKD","2017","2,565","984","2.61",
"HAYSBORO","HAY","2017","7,076","3,417","2",
"SOUTHVIEW","SOV","2017","1,841","776","2.37",
"BELVEDERE","BVD","2017","46","14","3.29",
"UNIVERSITY OF CALGARY","UOC","2017","2,057","9","228.56","Community boundaries were changed to create UNIVERSITY DISTRICT (UND)"
"COPPERFIELD","CPF","2017","13,017","4,715","2.76",
"WEST SPRINGS","WSP","2017","10,031","3,131","3.2",
"BANKVIEW","BNK","2017","5,090","3,046","1.67",
"ACADIA","ACA","2017","10,660","4,738","2.25",
"SILVER SPRINGS","SIL","2017","8,774","3,439","2.55",
"UNIVERSITY DISTRICT","UND","2017","667","187","3.57",
"AUBURN BAY","AUB","2017","16,429","5,453","3.01",
"WINSTON HEIGHTS/MOUNTVIEW","WIN","2017","3,835","1,680","2.28",
"RIVERBEND","RIV","2017","9,338","3,395","2.75",
"CORNERSTONE","CNS","2017","54","15","3.6",
"RICHMOND","RIC","2017","4,781","2,127","2.25",
"CITYSCAPE","CSC","2017","2,529","676","3.74",
"CEDARBRAE","CED","2017","6,075","2,496","2.43",
"COUGAR RIDGE","CGR","2017","7,072","2,178","3.25",
"SHERWOOD","SHW","2017","5,312","1,584","3.35",
"LOWER MOUNT ROYAL","LMR","2017","3,239","2,178","1.49",
"HOUNSFIELD HEIGHTS/BRIAR HILL","HOU","2017","3,016","1,038","2.91",
"MARTINDALE","MRT","2017","14,708","3,959","3.72",
"WHITEHORN","WHI","2017","11,985","3,627","3.3",
"COUNTRY HILLS","COU","2017","3,806","1,389","2.74",
"EVANSTON","EVN","2017","15,885","4,916","3.23",
"BRITANNIA","BRT","2017","668","285","2.34",
"THORNCLIFFE","THO","2017","8,474","3,520","2.41",
"ALBERT PARK/RADISSON HEIGHTS","ALB","2017","6,745","2,703","2.5",
"KILLARNEY/GLENGARRY","KIL","2017","7,423","3,426","2.17",
"SHAGANAPPI","SHG","2017","1,693","719","2.35",
"NORTH HAVEN UPPER","NHU","2017","620","241","2.57",
"BRENTWOOD","BRE","2017","7,132","3,105","2.3",
"GLENBROOK","GBK","2017","7,209","3,096","2.33",
"BRAESIDE","BRA","2017","5,960","2,490","2.39",
"MCKENZIE LAKE","MCK","2017","13,616","4,589","2.97",
"NORTH HAVEN","NHV","2017","2,376","960","2.48",
"ERIN WOODS","ERI","2017","6,974","2,400","2.91",
"SANDSTONE VALLEY","SAN","2017","5,965","2,091","2.85",
"ROXBORO","ROX","2017","390","143","2.73",
"MACEWAN GLEN","MAC","2017","4,930","1,767","2.79",
"FAIRVIEW","FAI","2017","3,686","1,511","2.44",
"SUNALTA","SNA","2017","3,192","1,885","1.69",
"RENFREW","REN","2017","6,397","3,138","2.04",
"VARSITY","VAR","2017","12,525","5,559","2.25",
"APPLEWOOD PARK","APP","2017","6,921","2,225","3.11",
"CASTLERIDGE","CAS","2017","6,181","1,853","3.34",
"HILLHURST","HIL","2017","6,648","2,711","2.45",
"BANFF TRAIL","BNF","2017","4,092","1,711","2.39",
"SIGNAL HILL","SIG","2017","13,533","5,153","2.63",
"PATTERSON","PAT","2017","4,128","1,874","2.2",
"NOLAN HILL","NOL","2017","5,312","1,716","3.1",
"MILLRISE","MLR","2017","6,990","2,590","2.7",
"WALDEN","WAL","2017","4,669","1,546","3.02",
"ROSEMONT","RMT","2017","1,234","517","2.39",
"DOWNTOWN COMMERCIAL CORE","DNC","2017","8,477","4,952","1.71",
"GLENDALE","GDL","2017","2,768","1,082","2.56",
"OAKRIDGE","OAK","2017","5,667","2,241","2.53",
"WOODLANDS","WOO","2017","6,111","2,363","2.59",
"CRESCENT HEIGHTS","CRE","2017","6,197","3,370","1.84",
"CRANSTON","CRA","2017","18,559","6,459","2.87",
"WILLOW PARK","WIL","2017","5,356","2,203","2.43",
"LAKE BONAVISTA","LKB","2017","10,419","4,024","2.59",
"EVERGREEN","EVE","2017","21,439","6,947","3.09",
"SOUTHWOOD","SOW","2017","6,214","2,491","2.49",
"CLIFF BUNGALOW","CLI","2017","1,796","1,223","1.47",
"SADDLE RIDGE","SAD","2017","19,911","4,914","4.05",
"ERLTON","ERL","2017","1,307","694","1.88",
"MONTEREY PARK","MOR","2017","10,670","3,108","3.43",
"DISCOVERY RIDGE","DIS","2017","4,268","1,598","2.67",
"ROSEDALE","RDL","2017","1,536","584","2.63",
"HAMPTONS","HAM","2017","7,567","2,442","3.1",
"ST. ANDREWS HEIGHTS","STA","2017","1,717","567","3.03",
"SETON","SET","2017","350","3","116.67",
"MAPLE RIDGE","MPL","2017","1,937","797","2.43",
"MAYFAIR","MAF","2017","431","149","2.89",
"VALLEY RIDGE","VAL","2017","5,622","1,915","2.94",
"BELTLINE","BLN","2017","23,219","14,716","1.58",
"MONTGOMERY","MON","2017","4,353","1,794","2.43",
"SUNNYSIDE","SSD","2017","4,206","2,492","1.69",
"GLAMORGAN","GLA","2017","6,385","2,865","2.23",
"ROSSCARROCK","RCK","2017","3,527","1,544","2.28",
"TUXEDO PARK","TUX","2017","4,983","2,414","2.06",
"WEST HILLHURST","WHL","2017","6,338","2,742","2.31",
"PANORAMA HILLS","PAN","2017","25,925","7,958","3.26",
"GARRISON WOODS","GAW","2017","3,179","1,374","2.31",
"GREENWOOD/GREENBRIAR","GRE","2017","912","472","1.93",
"SHAWNESSY","SHN","2017","9,448","3,257","2.9",
"SILVERADO","SVO","2017","6,907","2,327","2.97",
"DEER RUN","DRN","2017","5,111","2,008","2.55",
"MCKENZIE TOWNE","MCT","2017","18,106","6,948","2.61",
"SPRUCE CLIFF","SPR","2017","4,562","2,259","2.02",
"CITADEL","CIT","2017","10,293","3,441","2.99",
"DOWNTOWN EAST VILLAGE","DNE","2017","3,480","1,624","2.14",
"KINGSLAND","KIN","2017","4,667","2,238","2.09",
"ELBOW PARK","EPK","2017","3,360","1,130","2.97",
"CORAL SPRINGS","COR","2017","5,792","1,525","3.8",
"SOMERSET","SOM","2017","8,546","3,067","2.79",
"TUSCANY","TUS","2017","19,659","6,455","3.05",
"ARBOUR LAKE","ARB","2017","10,713","3,858","2.78",
"PARKLAND","PKL","2017","3,685","1,424","2.59",
"COACH HILL","COA","2017","3,271","1,453","2.25",
"DIAMOND COVE","DIA","2017","727","270","2.69",
"BONAVISTA DOWNS","BDO","2017","911","366","2.49",
"KINCORA","KCA","2017","6,363","2,065","3.08",
"RUTLAND PARK","RUT","2017","2,370","953","2.49",
"SKYVIEW RANCH","SKR","2017","10,043","3,330","3.02",
"RAMSAY","RAM","2017","2,110","1,014","2.08",
"WOODBINE","WBN","2017","8,959","3,311","2.71",
"HAWKWOOD","HAW","2017","9,512","3,281","2.9",
"CURRIE BARRACKS","CUR","2017","857",,,
"HARVEST HILLS","HAR","2017","7,302","2,486","2.94",
"FOREST LAWN","FLN","2017","7,772","3,009","2.58",
"RED CARPET","RED","2017","1,605","857","1.87",
"PINERIDGE","PIN","2017","9,741","3,629","2.68",
"MOUNT PLEASANT","MOP","2017","5,811","2,542","2.29",
"MARLBOROUGH PARK","MPK","2017","8,673","2,979","2.91",
"MAHOGANY","MAH","2017","8,444","2,841","2.97",
"HIGHLAND PARK","HPK","2017","3,998","1,947","2.05",
"ALTADORE","ALT","2017","6,795","2,871","2.37","Community boundaries were changed to create GARRISON WOODS (GAW)"
"MAYLAND HEIGHTS","MAL","2017","5,808","2,583","2.25",
"ABBEYDALE","ABB","2017","6,043","1,963","3.08",
"BAYVIEW","BYV","2017","638","233","2.74",
"BEDDINGTON HEIGHTS","BED","2017","11,694","4,236","2.76",
"CANYON MEADOWS","CAN","2017","7,553","3,066","2.46",
"SCENIC ACRES","SCE","2017","8,251","2,896","2.85",
"KELVIN GROVE","KEL","2017","2,311","851","2.72",
"VISTA HEIGHTS","VIS","2017","2,302","805","2.86",
"MIDNAPORE","MID","2017","7,320","2,747","2.66",
"COVENTRY HILLS","COV","2017","17,564","5,463","3.22",
"RIDEAU PARK","RID","2017","597","302","1.98",
"CAPITOL HILL","CAP","2017","4,459","2,074","2.15",
"LAKEVIEW","LKV","2017","5,535","2,301","2.41",
"SCARBORO/ SUNALTA WEST","SSW","2017","406","154","2.64",
"EAGLE RIDGE","EAG","2017","477","104","4.59",
"LEGACY","LEG","2017","3,919","1,542","2.54",
"UNIVERSITY HEIGHTS","UNI","2017","2,751","1,244","2.21",
"SCARBORO","SCA","2017","915","320","2.86",
"COUNTRY HILLS VILLAGE","CHV","2017","2,596","1,298","2",
"OGDEN","OGD","2017","8,558","3,658","2.34",
"MARLBOROUGH","MRL","2017","9,226","3,092","2.98",
"MEADOWLARK PARK","MEA","2017","665","265","2.51",
"PENBROOKE MEADOWS","PEN","2017","8,324","2,990","2.78",
"ROCKY RIDGE","ROC","2017","8,381","3,038","2.76",
"SPRINGBANK HILL","SPH","2017","9,985","3,278","3.05",
"HIDDEN VALLEY","HID","2017","11,708","3,828","3.06",
"ELBOYA","EYA","2017","1,783","715","2.49",
"CRESTMONT","CRM","2017","1,540","478","3.22",
"RANCHLANDS","RAN","2017","7,629","2,969","2.57",
"PARKHILL","PKH","2017","1,690","818","2.07",
"POINT MCKAY","POI","2017","1,354","813","1.67",
"TEMPLE","TEM","2017","11,162","3,503","3.19",
"WILDWOOD","WLD","2017","2,629","1,029","2.55",
"LINCOLN PARK","LPK","2017","2,441","977","2.5",
"WINDSOR PARK","WND","2017","4,270","2,251","1.9",
"WESTGATE","WGT","2017","3,193","1,301","2.45",
"MISSION","MIS","2017","4,583","3,084","1.49",
"BEL-AIRE","BEL","2017","410","145","2.83",
"SHAWNEE SLOPES","SHS","2017","1,625","685","2.37",
"BRIDLEWOOD","BRI","2017","12,696","4,114","3.09",
"INGLEWOOD","ING","2017","4,008","2,168","1.85",
"DALHOUSIE","DAL","2017","8,992","3,551","2.53",
"CAMBRIAN HEIGHTS","CAM","2017","2,075","864","2.4",
"HUNTINGTON HILLS","HUN","2017","13,154","5,303","2.48",
"NEW BRIGHTON","NEB","2017","12,548","4,234","2.96",
"SAGE HILL","SGH","2017","6,083","2,195","2.77",
"DOUGLASDALE/GLEN","DDG","2017","12,745","4,615","2.76",
"EDGEMONT","EDG","2017","15,701","5,319","2.95",
"FALCONRIDGE","FAL","2017","10,352","3,223","3.21",
"BOWNESS","BOW","2017","10,895","4,940","2.21",
"ASPEN WOODS","ASP","2017","9,212","2,875","3.2",
"CHRISTIE PARK","CHR","2017","2,148","717","3",
"BRIDGELAND/RIVERSIDE","BRD","2017","6,332","3,197","1.98",
"CHARLESWOOD/COLLINGWOOD",,"2017","5,798","2,347","2.47","Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)"
"PUMP HILL","PUM","2017","1,649","539","3.06",
"SOUTH CALGARY","SOC","2017","4,038","2,080","1.94",
"NORTH GLENMORE PARK","NGM","2017","2,396","946","2.53",
"HIGHWOOD","HIW","2017","2,233","907","2.46",
"DEER RIDGE","DRG","2017","4,086","1,477","2.77",
